#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"M.J.C. Worrell";"PvdA";"J.G. Kraaijeveld-Wouters";"CDA";"1985.03.27";"http://polidocs.nl/XML/MOT/1922803.xml"
"M.J.C. Worrell";"PvdA";"M. Ernsting";"CPN";"1985.03.27";"http://polidocs.nl/XML/MOT/1922803.xml"
"M.J.C. Worrell";"PvdA";"G. Mik";"D66";"1985.03.27";"http://polidocs.nl/XML/MOT/1922803.xml"
"P.A. Lankhorst";"PPR";"A.C. v. Es";"PSP";"1984.12.05";"http://polidocs.nl/XML/MOT/1929415.xml"
"P.A. Lankhorst";"PPR";"E.K. Wessel-Tuinstra";"D66";"1984.12.05";"http://polidocs.nl/XML/MOT/1929415.xml"
"A.J. Evenhuis";"VVD";"N.J. Ginjaar-Maas";"VVD";"1981.01.27";"http://polidocs.nl/XML/MOT/1967595.xml"
"A.J. Evenhuis";"VVD";"F. Portheine";"VVD";"1981.01.27";"http://polidocs.nl/XML/MOT/1967595.xml"
"A.J. Evenhuis";"VVD";"J.D. d. Voogd";"VVD";"1981.01.27";"http://polidocs.nl/XML/MOT/1967595.xml"
"A.J. Evenhuis";"VVD";"H.H. Jacobse";"VVD";"1981.01.27";"http://polidocs.nl/XML/MOT/1967595.xml"
"A.A.M.E. v. Erp";"VVD";"H.Th.M. Lauxtermann";"VVD";"1978.04.10";"http://polidocs.nl/XML/MOT/2004154.xml"
"A.A.M.E. v. Erp";"VVD";"L.M. d. Beer";"VVD";"1978.04.10";"http://polidocs.nl/XML/MOT/2004154.xml"
"A.J.W. Duyvendak";"GL";"S.A.M. Dijksma";"PvdA";"2004.04.29";"http://polidocs.nl/XML/MOT/2043442.xml"
"L.S. Groenman";"D66";"M.B.C. Beckers-d. Bruijn";"PPR";"1983.06.27";"http://polidocs.nl/XML/MOT/1942956.xml"
