#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"C.G. v.d. Staaij";"SGP";"J.C. Huizinga-Heringa";"CU";"2004.11.29";"http://polidocs.nl/XML/MOT/2052124.xml"
"C.G. v.d. Staaij";"SGP";"K. v. Velzen";"SP";"2004.11.29";"http://polidocs.nl/XML/MOT/2052124.xml"
"J.P. v. Iersel";"CDA";"R. Braams";"VVD";"1980.06.16";"http://polidocs.nl/XML/MOT/1974381.xml"
"B.O. Dittrich";"D66";"A. Nicolaï";"VVD";"1998.11.30";"http://polidocs.nl/XML/MOT/1825722.xml"
"B.O. Dittrich";"D66";"M.C.W. Visser-v. Doorn";"CDA";"1998.11.30";"http://polidocs.nl/XML/MOT/1825722.xml"
"J.C. Verdaas";"PvdA";"J.M.A.M. d. Wit";"SP";"2005.11.16";"http://polidocs.nl/XML/MOT/5579364.xml"
"J.C. Verdaas";"PvdA";"P.L.M. Jungbluth";"GL";"2005.11.16";"http://polidocs.nl/XML/MOT/5579364.xml"
"M.M. Versnel-Schmitz";"D66";"P.A. Lankhorst";"GL";"1992.12.14";"http://polidocs.nl/XML/MOT/1869619.xml"
"O.P.G. Vos";"VVD";"M.L. d. Pater-v.d. Meer";"CDA";"2001.07.03";"http://polidocs.nl/XML/MOT/1805819.xml"
"F. Vergeer-Mudde";"SP";"C.C.M. Vendrik";"GL";"2003.11.18";"http://polidocs.nl/XML/MOT/2038419.xml"
"F. Vergeer-Mudde";"SP";"M.H.P. v. Dam";"PvdA";"2003.11.18";"http://polidocs.nl/XML/MOT/2038419.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"A.G. v.d. Spek";"PSP";"1979.11.12";"http://polidocs.nl/XML/MOT/1978355.xml"
"J.P. Schermers";"CDA";"E. v.d. Veen";"PvdA";"2007.06.21";"http://polidocs.nl/XML/MOT/6067475.xml"
"J.P. Schermers";"CDA";"E.E. Wiegman-v. Meppelen Scheppink";"CU";"2007.06.21";"http://polidocs.nl/XML/MOT/6067475.xml"
"A. v.d. Hek";"PvdA";"J.L.A. Jansen";"PPR";"1979.06.14";"http://polidocs.nl/XML/MOT/1992299.xml"
"A. v.d. Hek";"PvdA";"J.C.Th. v.d. Doef";"PvdA";"1979.06.14";"http://polidocs.nl/XML/MOT/1992299.xml"
"A. v.d. Hek";"PvdA";"B. Spieker";"PvdA";"1979.06.14";"http://polidocs.nl/XML/MOT/1992299.xml"
